Model,Scenario,Region,Variable,Unit,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
AIM/CGE 2.0,SSP1-26,World,Emissions|CH4|AFOLU,Mt CH4/yr,,169.5857,179.609,,190.7198,,154.8838,,129.8479,,119.065,,119.0646,,111.5739,,109.2056,,103.571,,98.651
AIM/CGE 2.0,SSP1-26,World,Population,million,,6490.9879,6879.5896,,7529.2273,,8010.6224,,8332.3655,,8469.1883,,8426.4663,,8229.2513,,7894.6378,,7435.4936,,6881.5846
AIM/CGE 2.0,SSP2-26,World,Emissions|CH4|AFOLU,Mt CH4/yr,,169.5857,181.9907,,199.3616,,163.4107,,146.8476,,137.3248,,144.3055,,142.8912,,145.0433,,145.9308,,147.0017
AIM/CGE 2.0,SSP2-26,World,Population,million,,6490.9879,6879.5896,,7623.6572,,8273.4011,,8795.5201,,9172.3104,,9380.9208,,9442.8467,,9383.0055,,9220.2795,,8990.6331
AIM/CGE 2.0,SSP4-26,World,Emissions|CH4|AFOLU,Mt CH4/yr,,169.5857,181.4727,,205.8938,,157.9433,,136.3278,,128.929,,131.8943,,127.899,,124.6651,,122.059,,119.3493
AIM/CGE 2.0,SSP4-26,World,Population,million,,6490.9879,6879.5896,,7611.0482,,8243.6688,,8750.4991,,9130.67,,9360.2115,,9453.215,,9449.558,,9377.1331,,9266.2664
AIM/CGE 2.0,SSP5-26,World,Emissions|CH4|AFOLU,Mt CH4/yr,,169.5857,181.1691,,201.8153,,190.7805,,159.9284,,155.6805,,162.4132,,166.1012,,166.8425,,165.4295,,162.3035
AIM/CGE 2.0,SSP5-26,World,Population,million,,6490.9879,6879.5896,,7538.0815,,8040.9451,,8391.6615,,8569.8831,,8582.985,,8452.4889,,8196,,7826.3127,,7368.8976
AIM/CGE 2.1,CD-LINKS_NPi2020_1000,World,Emissions|CH4|AFOLU,Mt CH4/yr,,167.6717,179.4994,189.7462,199.4688,172.3104,148.5579,129.1469,125.4631,128.3374,128.2906,131.0495,132.958,131.9165,136.8577,141.6585,146.1066,149.4756,151.5323,152.7729,152.3053
AIM/CGE 2.1,CD-LINKS_NPi2020_1000,World,Population,million,,6490.9879,6879.5896,7257.2329,7623.6572,7964.4282,8273.4011,8551.0051,8795.5201,9004.0542,9172.3104,9297.5,9380.9208,9427.6492,9442.8467,9427.5656,9383.0055,9312.1394,9220.2795,9112.0365,8990.6331
AIM/CGE 2.1,EMF33_Med2C_nofuel,World,Population,million,,6490.9879,6879.5896,7257.2329,7623.6572,7964.4282,8273.4011,8551.0051,8795.5201,9004.0542,9172.3104,9297.5,9380.9208,9427.6492,9442.8467,9427.5656,9383.0055,9312.1394,9220.2795,9112.0365,8990.6331
AIM/CGE 2.1,EMF33_Med2C_nofuel,World,Agricultural Production,million t DM/yr,,3501.0726,3765.5858,4033.1042,4316.612,4570.696,4852.1674,5144.4623,5408.7348,5672.4235,5927.5583,6169.3828,6418.7612,6634.7459,6778.3514,6870.8887,6949.6812,7016.0612,7061.9476,7085.0495,7092.5369
AIM/CGE 2.1,EMF33_Med2C_none,World,Population,million,,6490.9879,6879.5896,7257.2329,7623.6572,7964.4282,8273.4011,8551.0051,8795.5201,9004.0542,9172.3104,9297.5,9380.9208,9427.6492,9442.8467,9427.5656,9383.0055,9312.1394,9220.2795,9112.0365,8990.6331
AIM/CGE 2.1,EMF33_Med2C_none,World,Agricultural Production,million t DM/yr,,3501.0726,3747.8287,3999.5599,4255.0067,4451.834,4624.1222,4779.6701,4949.3692,5097.6269,5237.2738,5350.1644,5415.7568,5453.3924,5482.1062,5548.2696,5597.3373,5633.3237,5657.1433,5671.6441,5674.6131
AIM/CGE 2.1,EMF33_WB2C_full,World,Population,million,,6490.9879,6879.5896,7257.2329,7623.6572,7964.4282,8273.4011,8551.0051,8795.5201,9004.0542,9172.3104,9297.5,9380.9208,9427.6492,9442.8467,9427.5656,9383.0055,9312.1394,9220.2795,9112.0365,8990.6331
AIM/CGE 2.1,EMF33_WB2C_full,World,Agricultural Production,million t DM/yr,,3501.0726,3765.5858,4041.7387,4332.714,4608.6482,4959.2312,5958.711,7241.2878,8292.6542,8903.019,9478.075,10465.8768,11404.2402,11780.134,12162.9955,12540.9522,12917.4353,13304.2448,13646.3912,13996.3406
AIM/CGE 2.1,TERL_2D_LowCarbonTransportPolicy,World,Emissions|CH4|AFOLU,Mt CH4/yr,,167.6717,179.4562,190.5778,201.6504,167.9942,152.2819,150.0686,148.6197,145.5033,141.1334,143.5001,145.417,148.8417,151.7918,154.3414,155.5169,154.5381,153.0902,149.7169,144.6825
AIM/CGE 2.1,TERL_2D_LowCarbonTransportPolicy,World,Population,million,,6490.9879,6879.5896,7257.2329,7623.6572,7964.4282,8273.4011,8551.0051,8795.5201,9004.0542,9172.3104,9297.5,9380.9208,9427.6492,9442.8467,9427.5656,9383.0055,9312.1394,9220.2795,9112.0365,8990.6331
AIM/CGE 2.1,TERL_2D_LowCarbonTransportPolicy,World,Agricultural Production,million t DM/yr,,3501.0726,3764.3687,4033.4012,4317.5227,4605.1945,4923.096,5289.7873,5873.4009,6654.6563,7456.5603,8556.3672,10127.265,11386.877,12131.7251,12565.9162,13005.8639,13343.6734,13610.6404,13712.1375,13658.7556
AIM/CGE 2.1,TERL_2D_NoTransportPolicy,World,Emissions|CH4|AFOLU,Mt CH4/yr,,167.6717,179.4746,189.8957,198.2696,166.3446,150.5263,147.9174,146.2148,142.9596,138.993,141.4089,143.3307,146.8161,148.7244,147.7662,147.1509,145.3833,142.5244,138.2072,132.6689
