Model,Scenario,Region,Variable,Unit,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
REMIND-MAgPIE 1.7-3.0,PEP_1p5C_red_eff,World,Population,million,,6465.587,6858.4392,7248.0137,7637.588,7978.374,8287.574,8565.394,8809.967,9018.426,9186.561,9311.674,9395.123,,9457.945,,9399.87,,9239.529,,9012.212
REMIND-MAgPIE 1.7-3.0,PEP_1p5C_red_eff,World,Agricultural Production,million t DM/yr,,3545.5404,4078.8056,4635.7716,5277.6347,6035.6882,6905.2464,8770.7261,9948.6664,10038.5158,10026.763,9893.47,9716.6832,,9466.6221,,9253.6212,,9205.252,,8612.0548
REMIND-MAgPIE 1.7-3.0,SMP_1p5C_Def,World,Emissions|CH4|AFOLU,Mt CH4/yr,,157.5562,181.4763,203.2281,181.2562,179.0218,188.5987,179.9877,184.9976,173.2879,175.963,169.1206,169.6546,,166.4391,,160.8465,,149.8203,,134.3084
REMIND-MAgPIE 1.7-3.0,SMP_1p5C_Def,World,Population,million,,6465.587,6858.4392,7248.0137,7637.5883,7978.374,8287.574,8565.394,8809.967,9018.426,9186.561,9311.674,9395.123,,9457.945,,9399.87,,9239.529,,9012.212
REMIND-MAgPIE 1.7-3.0,SMP_1p5C_Def,World,Agricultural Production,million t DM/yr,,3545.4119,4078.5833,4622.9878,5282.4173,5870.758,6450.2766,7238.2374,8524.9416,10226.2169,11901.3043,13253.7325,14382.9194,,16249.8119,,17331.7724,,17276.2313,,17158.3255
REMIND-MAgPIE 1.7-3.0,SMP_1p5C_Sust,World,Emissions|CH4|AFOLU,Mt CH4/yr,,157.5562,184.2016,206.7603,177.0106,162.8471,151.5058,131.7871,126.7226,113.2732,110.421,103.6921,102.2115,,94.5019,,85.77,,77.1317,,68.6219
REMIND-MAgPIE 1.7-3.0,SMP_1p5C_Sust,World,Population,million,,6465.587,6858.4392,7248.0137,7637.5883,7978.374,8287.574,8565.394,8809.967,9018.426,9186.561,9311.674,9395.123,,9457.945,,9399.87,,9239.529,,9012.212
REMIND-MAgPIE 1.7-3.0,SMP_1p5C_Sust,World,Agricultural Production,million t DM/yr,,3545.4119,4060.0309,4619.5636,5158.2261,5324.8464,5399.9557,5692.5352,6282.2786,6944.3869,7392.1765,7614.2927,7783.3669,,7944.8688,,7772.4591,,7584.3112,,7580.1031
REMIND-MAgPIE 1.7-3.0,SMP_1p5C_early,World,Emissions|CH4|AFOLU,Mt CH4/yr,,157.5562,181.4763,203.2894,180.2422,179.1504,189.5636,181.8823,187.699,176.7714,178.6277,170.8146,170.8808,,168.0557,,161.5803,,150.6994,,135.7765
REMIND-MAgPIE 1.7-3.0,SMP_1p5C_early,World,Population,million,,6465.587,6858.4392,7248.0137,7637.5883,7978.374,8287.574,8565.394,8809.967,9018.426,9186.561,9311.674,9395.123,,9457.945,,9399.87,,9239.529,,9012.212
REMIND-MAgPIE 1.7-3.0,SMP_1p5C_early,World,Agricultural Production,million t DM/yr,,3545.4119,4078.5833,4623.7792,5405.4607,6170.3636,7116.2855,8640.5164,10604.1405,12206.3089,13216.0792,13794.7639,14190.6836,,14704.671,,14507.5957,,14242.5372,,14364.3408
REMIND-MAgPIE 1.7-3.0,SMP_1p5C_lifesty,World,Emissions|CH4|AFOLU,Mt CH4/yr,,157.5562,181.4763,203.1057,178.1565,164.2894,157.7485,138.8277,134.5693,121.4133,118.9663,113.3408,113.5101,,107.482,,99.3857,,90.0407,,79.5821
REMIND-MAgPIE 1.7-3.0,SMP_1p5C_lifesty,World,Population,million,,6465.587,6858.4392,7248.0137,7637.5883,7978.374,8287.574,8565.394,8809.967,9018.426,9186.561,9311.674,9395.123,,9457.945,,9399.87,,9239.529,,9012.212
REMIND-MAgPIE 1.7-3.0,SMP_1p5C_lifesty,World,Agricultural Production,million t DM/yr,,3545.4119,4078.5833,4620.4591,5120.6026,5272.1815,5370.7472,5704.9037,6305.5818,7286.8744,8485.6633,9570.8477,10459.631,,11347.5511,,11333.5302,,11068.0809,,11217.1883
REMIND-MAgPIE 1.7-3.0,SMP_1p5C_regul,World,Emissions|CH4|AFOLU,Mt CH4/yr,,157.5562,184.2016,205.4811,179.6082,174.4074,181.28,170.9335,173.201,159.4331,159.3907,150.2141,149.2033,,143.3508,,136.3694,,126.025,,112.519
REMIND-MAgPIE 1.7-3.0,SMP_1p5C_regul,World,Population,million,,6465.587,6858.4392,7248.0137,7637.5883,7978.374,8287.574,8565.394,8809.967,9018.426,9186.561,9311.674,9395.123,,9457.945,,9399.87,,9239.529,,9012.212
