Domain,Area,Element,Item,Year,Unit,Value
Land Use,Democratic Republic of the Congo,Area,Land with temporary fallow,2010,,0
Land Use,Democratic Republic of the Congo,Area,Land under perm. meadows and pastures,2010,1000 ha,18200
Land Use,Denmark,Area,Land under temp. meadows and pastures,2010,1000 ha,562
Land Use,Denmark,Area,Land with temporary fallow,2010,1000 ha,35
Land Use,Denmark,Area,Land under perm. meadows and pastures,2010,1000 ha,200
Land Use,Djibouti,Area,Land under temp. meadows and pastures,2010,,0
Land Use,Djibouti,Area,Land with temporary fallow,2010,,0
Land Use,Djibouti,Area,Land under perm. meadows and pastures,2010,1000 ha,1700
Land Use,Dominica,Area,Land under temp. meadows and pastures,2010,,0
Land Use,Dominica,Area,Land with temporary fallow,2010,,0
Land Use,Dominica,Area,Land under perm. meadows and pastures,2010,1000 ha,2
Land Use,Dominican Republic,Area,Land under temp. meadows and pastures,2010,,0
Land Use,Dominican Republic,Area,Land with temporary fallow,2010,,0
Land Use,Dominican Republic,Area,Land under perm. meadows and pastures,2010,1000 ha,1197
Land Use,Ecuador,Area,Land under temp. meadows and pastures,2010,,0
Land Use,Ecuador,Area,Land with temporary fallow,2010,1000 ha,194
Land Use,Ecuador,Area,Land under perm. meadows and pastures,2010,1000 ha,4919.9
Land Use,Egypt,Area,Land under temp. meadows and pastures,2010,,0
Land Use,Egypt,Area,Land with temporary fallow,2010,,0
Land Use,Egypt,Area,Land under perm. meadows and pastures,2010,,0
Land Use,El Salvador,Area,Land under temp. meadows and pastures,2010,1000 ha,210
Land Use,El Salvador,Area,Land with temporary fallow,2010,1000 ha,60
Land Use,El Salvador,Area,Land under perm. meadows and pastures,2010,1000 ha,637
Land Use,Equatorial Guinea,Area,Land under temp. meadows and pastures,2010,,0
Land Use,Equatorial Guinea,Area,Land with temporary fallow,2010,,0
Land Use,Equatorial Guinea,Area,Land under perm. meadows and pastures,2010,1000 ha,104
Land Use,Eritrea,Area,Land under temp. meadows and pastures,2010,,0
Land Use,Eritrea,Area,Land with temporary fallow,2010,,0
Land Use,Eritrea,Area,Land under perm. meadows and pastures,2010,1000 ha,6900
Land Use,Estonia,Area,Land under temp. meadows and pastures,2010,1000 ha,199.2
Land Use,Estonia,Area,Land with temporary fallow,2010,1000 ha,42.2
Land Use,Estonia,Area,Land under perm. meadows and pastures,2010,1000 ha,296.7
Land Use,Eswatini,Area,Land under temp. meadows and pastures,2010,,0
Land Use,Eswatini,Area,Land with temporary fallow,2010,,0
Land Use,Eswatini,Area,Land under perm. meadows and pastures,2010,1000 ha,1032
Land Use,Ethiopia,Area,Land under temp. meadows and pastures,2010,1000 ha,1709
Land Use,Ethiopia,Area,Land with temporary fallow,2010,1000 ha,615
Land Use,Ethiopia,Area,Land under perm. meadows and pastures,2010,1000 ha,20000
Land Use,Ethiopia PDR,Area,Land under temp. meadows and pastures,2010,,0
Land Use,Ethiopia PDR,Area,Land with temporary fallow,2010,,0
Land Use,Ethiopia PDR,Area,Land under perm. meadows and pastures,2010,,0
Land Use,Falkland Islands (Malvinas),Area,Land under temp. meadows and pastures,2010,,0
Land Use,Falkland Islands (Malvinas),Area,Land with temporary fallow,2010,,0
Land Use,Falkland Islands (Malvinas),Area,Land under perm. meadows and pastures,2010,1000 ha,1109.5
Land Use,Faroe Islands,Area,Land under temp. meadows and pastures,2010,,0
Land Use,Faroe Islands,Area,Land with temporary fallow,2010,,0
Land Use,Faroe Islands,Area,Land under perm. meadows and pastures,2010,,0
Land Use,Fiji,Area,Land under temp. meadows and pastures,2010,,0
Land Use,Fiji,Area,Land with temporary fallow,2010,,0
Land Use,Fiji,Area,Land under perm. meadows and pastures,2010,1000 ha,175
Land Use,Finland,Area,Land under temp. meadows and pastures,2010,1000 ha,659
Land Use,Finland,Area,Land with temporary fallow,2010,1000 ha,307
Land Use,Finland,Area,Land under perm. meadows and pastures,2010,1000 ha,33
Land Use,France,Area,Land under temp. meadows and pastures,2010,1000 ha,3437.2
Land Use,France,Area,Land with temporary fallow,2010,1000 ha,623.2
Land Use,France,Area,Land under perm. meadows and pastures,2010,1000 ha,9614.5
Land Use,French Guiana,Area,Land under temp. meadows and pastures,2010,1000 ha,0.4
Land Use,French Guiana,Area,Land with temporary fallow,2010,1000 ha,0.4
Land Use,French Guiana,Area,Land under perm. meadows and pastures,2010,1000 ha,9.1
Land Use,French Polynesia,Area,Land under temp. meadows and pastures,2010,,0
Land Use,French Polynesia,Area,Land with temporary fallow,2010,,0
Land Use,French Polynesia,Area,Land under perm. meadows and pastures,2010,1000 ha,20
Land Use,Gabon,Area,Land under temp. meadows and pastures,2010,,0
Land Use,Gabon,Area,Land with temporary fallow,2010,,0
Land Use,Gabon,Area,Land under perm. meadows and pastures,2010,1000 ha,4665
Land Use,Gambia,Area,Land under temp. meadows and pastures,2010,,0
Land Use,Gambia,Area,Land with temporary fallow,2010,,0
Land Use,Gambia,Area,Land under perm. meadows and pastures,2010,1000 ha,160
Land Use,Georgia,Area,Land under temp. meadows and pastures,2010,,0
Land Use,Georgia,Area,Land with temporary fallow,2010,1000 ha,120
Land Use,Georgia,Area,Land under perm. meadows and pastures,2010,1000 ha,1940
Land Use,Germany,Area,Land under temp. meadows and pastures,2010,1000 ha,2571
Land Use,Germany,Area,Land with temporary fallow,2010,1000 ha,252
Land Use,Germany,Area,Land under perm. meadows and pastures,2010,1000 ha,4655
Land Use,Ghana,Area,Land under temp. meadows and pastures,2010,,0
Land Use,Ghana,Area,Land with temporary fallow,2010,,0
Land Use,Ghana,Area,Land under perm. meadows and pastures,2010,1000 ha,8300
Land Use,Gibraltar,Area,Land under temp. meadows and pastures,2010,,0
Land Use,Gibraltar,Area,Land with temporary fallow,2010,,0
Land Use,Gibraltar,Area,Land under perm. meadows and pastures,2010,,0
Land Use,Greece,Area,Land under temp. meadows and pastures,2010,,0
Land Use,Greece,Area,Land with temporary fallow,2010,1000 ha,475
Land Use,Greece,Area,Land under perm. meadows and pastures,2010,1000 ha,3785
Land Use,Greenland,Area,Land under temp. meadows and pastures,2010,,0
Land Use,Greenland,Area,Land with temporary fallow,2010,,0
Land Use,Greenland,Area,Land under perm. meadows and pastures,2010,1000 ha,242.8
Land Use,Grenada,Area,Land under temp. meadows and pastures,2010,,0
Land Use,Grenada,Area,Land with temporary fallow,2010,,0
Land Use,Grenada,Area,Land under perm. meadows and pastures,2010,1000 ha,1
Land Use,Guadeloupe,Area,Land under temp. meadows and pastures,2010,,0
Land Use,Guadeloupe,Area,Land with temporary fallow,2010,1000 ha,1.4
Land Use,Guadeloupe,Area,Land under perm. meadows and pastures,2010,1000 ha,34.5
Land Use,Guam,Area,Land under temp. meadows and pastures,2010,,0
Land Use,Guam,Area,Land with temporary fallow,2010,,0
Land Use,Guam,Area,Land under perm. meadows and pastures,2010,1000 ha,8
Land Use,Guatemala,Area,Land under temp. meadows and pastures,2010,,0
Land Use,Guatemala,Area,Land with temporary fallow,2010,,0
Land Use,Guatemala,Area,Land under perm. meadows and pastures,2010,1000 ha,1796
Land Use,Guinea,Area,Land under temp. meadows and pastures,2010,,0
Land Use,Guinea,Area,Land with temporary fallow,2010,,0
Land Use,Guinea,Area,Land under perm. meadows and pastures,2010,1000 ha,10700
Land Use,Guinea-Bissau,Area,Land under temp. meadows and pastures,2010,,0
Land Use,Guinea-Bissau,Area,Land with temporary fallow,2010,,0
Land Use,Guinea-Bissau,Area,Land under perm. meadows and pastures,2010,1000 ha,1080
Land Use,Guyana,Area,Land under temp. meadows and pastures,2010,,0
Land Use,Guyana,Area,Land with temporary fallow,2010,,0
Land Use,Guyana,Area,Land under perm. meadows and pastures,2010,1000 ha,1230
Land Use,Haiti,Area,Land under temp. meadows and pastures,2010,,0
Land Use,Haiti,Area,Land with temporary fallow,2010,,0
Land Use,Haiti,Area,Land under perm. meadows and pastures,2010,1000 ha,490
Land Use,Honduras,Area,Land under temp. meadows and pastures,2010,,0
Land Use,Honduras,Area,Land with temporary fallow,2010,,0
Land Use,Honduras,Area,Land under perm. meadows and pastures,2010,1000 ha,1760
Land Use,Hungary,Area,Land under temp. meadows and pastures,2010,1000 ha,17.4
Land Use,Hungary,Area,Land with temporary fallow,2010,1000 ha,240.3
Land Use,Hungary,Area,Land under perm. meadows and pastures,2010,1000 ha,763
Land Use,Iceland,Area,Land under temp. meadows and pastures,2010,1000 ha,114
Land Use,Iceland,Area,Land with temporary fallow,2010,1000 ha,1
Land Use,Iceland,Area,Land under perm. meadows and pastures,2010,1000 ha,1751
Land Use,India,Area,Land under temp. meadows and pastures,2010,,0
Land Use,India,Area,Land with temporary fallow,2010,1000 ha,26847
Land Use,India,Area,Land under perm. meadows and pastures,2010,1000 ha,10339
Land Use,Indonesia,Area,Land under temp. meadows and pastures,2010,,0
Land Use,Indonesia,Area,Land with temporary fallow,2010,,0
Land Use,Indonesia,Area,Land under perm. meadows and pastures,2010,1000 ha,11000
Land Use,Iran (Islamic Republic of),Area,Land under temp. meadows and pastures,2010,,0
Land Use,Iran (Islamic Republic of),Area,Land with temporary fallow,2010,1000 ha,4080
Land Use,Iran (Islamic Republic of),Area,Land under perm. meadows and pastures,2010,1000 ha,29477
Land Use,Iraq,Area,Land under temp. meadows and pastures,2010,,0
Land Use,Iraq,Area,Land with temporary fallow,2010,,0
Land Use,Iraq,Area,Land under perm. meadows and pastures,2010,1000 ha,4000
Land Use,Ireland,Area,Land under temp. meadows and pastures,2010,1000 ha,659
Land Use,Ireland,Area,Land with temporary fallow,2010,,0
Land Use,Ireland,Area,Land under perm. meadows and pastures,2010,1000 ha,3555
Land Use,Isle of Man,Area,Land under temp. meadows and pastures,2010,1000 ha,20.4
Land Use,Isle of Man,Area,Land with temporary fallow,2010,,0
Land Use,Isle of Man,Area,Land under perm. meadows and pastures,2010,1000 ha,18
Land Use,Israel,Area,Land under temp. meadows and pastures,2010,,0
Land Use,Israel,Area,Land with temporary fallow,2010,1000 ha,90
Land Use,Israel,Area,Land under perm. meadows and pastures,2010,1000 ha,133.6
Land Use,Italy,Area,Land under temp. meadows and pastures,2010,1000 ha,1918
Land Use,Italy,Area,Land with temporary fallow,2010,1000 ha,548
Land Use,Italy,Area,Land under perm. meadows and pastures,2010,1000 ha,4698
Land Use,Jamaica,Area,Land under temp. meadows and pastures,2010,,0
