Aggregate|AggregateCode|FBS_ItemCode|FBS_ItemName|Type|SUA_ItemCode|SUA_ItemName,,
All|7000|2640|Pepper|Vegetal|687|Pepper W/L/B,,
All|7000|2641|Pimento|Vegetal|689|Pimento,,
All|7000|2642|Cloves|Vegetal|698|Cloves,,
All|7000|2645|Spices, Other|Vegetal|692|Vanilla,
All|7000|2645|Spices, Other|Vegetal|693|Cinnamon,
All|7000|2645|Spices, Other|Vegetal|702|Nutmeg,
All|7000|2645|Spices, Other|Vegetal|711|Anise,
All|7000|2645|Spices, Other|Vegetal|720|Ginger,
All|7000|2645|Spices, Other|Vegetal|723|Spices Nes,
All|7000|2662|Jute|Vegetal|780|Jute,,
All|7000|2663|Jute-Like Fibres|Vegetal|782|Jute-Like,,
All|7000|2664|Soft-Fibres, Other|Vegetal|773|Flax Fibre,
All|7000|2664|Soft-Fibres, Other|Vegetal|777|Hemp Fibre,
All|7000|2664|Soft-Fibres, Other|Vegetal|788|Ramie,
All|7000|2665|Sisal|Vegetal|789|Sisal,,
All|7000|2666|Abaca|Vegetal|809|Abaca,,
All|7000|2667|Hard Fibres, Other|Vegetal|800|Agave Nes,
All|7000|2667|Hard Fibres, Other|Vegetal|813|Coir,
All|7000|2667|Hard Fibres, Other|Vegetal|821|Fibre Nes,
All|7000|2671|Tobacco|Vegetal|826|Tobacco,,
All|7000|2672|Rubber|Vegetal|836|Nat Rubber,,
All|7000|2701|Cattle|Livestock|866|Cattle,,
All|7000|2702|Buffaloes|Livestock|946|Buffaloes,,
All|7000|2703|Sheep|Livestock|976|Sheep,,
All|7000|2704|Goats|Livestock|1016|Goats,,
All|7000|2705|Pigs|Livestock|1034|Pigs,,
All|7000|2706|Poultry|Livestock|1057|Chickens,,
All|7000|2706|Poultry|Livestock|1068|Ducks,,
All|7000|2706|Poultry|Livestock|1072|Geese,,
All|7000|2706|Poultry|Livestock|1079|Turkeys,,
All|7000|2706|Poultry|Livestock|1083|Pigeons Othe,,
All|7000|2731|Bovine Meat|Animal|867|Beef Veal,,
All|7000|2731|Bovine Meat|Animal|947|Buffalo Meat,,
All|7000|2732|Mutton & Goat Meat|Animal|1017|Goat Meat,,
All|7000|2732|Mutton & Goat Meat|Animal|977|Mutton Lamb,,
All|7000|2733|Pigmeat|Animal|1035|Pigmeat,,
All|7000|2734|Poultry Meat|Animal|1058|Chicken Meat,,
All|7000|2734|Poultry Meat|Animal|1069|Duck Meat,,
All|7000|2734|Poultry Meat|Animal|1073|Goose Meat,,
All|7000|2734|Poultry Meat|Animal|1080|Turkey Meat,,
All|7000|2735|Meat, Other|Animal|1089|Meat Poultry,
All|7000|2735|Meat, Other|Animal|1097|Horsemeat,
All|7000|2735|Meat, Other|Animal|1108|Meat Asses,
All|7000|2735|Meat, Other|Animal|1111|Meat Mules,
All|7000|2735|Meat, Other|Animal|1127|Meat Camel,
All|7000|2735|Meat, Other|Animal|1141|Rabbit Meat,
All|7000|2735|Meat, Other|Animal|1151|Meat Rodents,
All|7000|2735|Meat, Other|Animal|1158|Meat Oth Cam,
All|7000|2735|Meat, Other|Animal|1163|Game Meat,
All|7000|2735|Meat, Other|Animal|1166|Meat Nes,
All|7000|2735|Meat, Other|Animal|1176|Snails Not S,
All|7000|2744|Eggs|Animal|1062|Hen Eggs,,
All|7000|2744|Eggs|Animal|1091|Eggs Poultry,,
All|7000|2745|Honey|Other|1182|Honey,,
All|7000|2761|Freshwater Fish|Animal|1501|Frwtr Diad F,,
All|7000|2762|Demersal Fish|Animal|1514|Dmrsl Fresh,,
All|7000|2763|Pelagic Fish|Animal|1527|Pelagic Frsh,,
All|7000|2764|Marine Fish, Other|Animal|1540|Marine Nes F,
All|7000|2765|Crustaceans|Animal|1553|Crstaceans F,,
All|7000|2766|Cephalopods|Animal|1570|Cephlp Fresh,,
All|7000|2767|Molluscs, Other|Animal|1562|Mlluscs Frsh,
