"Country","All Classes","Arctic","Boreal, cold","Boreal, very cold","Subtropics, cold","Subtropics, cool","Subtropics, very cold","Subtropics, warm/mod. cool","Temperate, cold","Temperate, cool","Temperate, very cold","Tropics, cool/cold/very cold","Tropics, warm","Undefined"
"Denmark",44125.3589079082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44124.39160865545,0.0,0.0,0.0,0.9672992527484894
"Djibouti",21817.61777997017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21814.248337745667,3.3694422245025635
"Dominica",771.1122471690178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,771.1122471690178,0.0
"Dominican Republic",48401.551382899284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5254.820302963257,43146.73107993603,0.0
"Ecuador",257905.80726063251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77311.92168998718,180593.88557064533,0.0
"El Salvador",20935.436579942703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,378.0302018523216,20557.40637809038,0.0
"Equatorial Guinea",27131.74506676197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,343.5794372558594,26788.16562950611,0.0
"Eritrea",121044.60107183456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10066.641432464123,110976.30375546217,1.6558839082717896
"Estonia",45100.31544846296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45099.43310213089,0.0,0.0,0.0,0.8823463320732117
"Ethiopia",1136270.1507533193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,298175.3758234978,838094.7749298215,0.0
"Faroe Islands (Associate Member)",1403.6849905848503,24.23508921265602,964.7425211966038,414.7073801755905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Fiji",18378.707404732704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18370.508904099464,8.198500633239746
"Finland",333683.4040694237,0.0,275577.8064507544,1017.7737605571747,0.0,0.0,0.0,0.0,36932.77170664072,20151.4148722589,0.0,0.0,0.0,3.637279212474823
"France",546661.3681907654,0.0,0.0,0.0,6336.458591103554,65426.73951399326,2801.710987329483,23791.626870810986,2153.5916845798492,445750.5997989774,398.8631417751312,0.0,0.0,1.777602195739746
"Gabon",266518.1573908329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,266518.1573908329,0.0
"Gambia",10868.230472445488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10868.230472445488,0.0
"Georgia",69622.89466238022,0.0,0.0,0.0,62.43975067138672,6222.116554379463,0.0,5542.221932888031,8053.746877610683,49280.78866147995,461.5808853507042,0.0,0.0,0.0
"Germany",355249.3362747431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,398.1178380250931,354835.22980868816,14.4840989112854,0.0,0.0,1.5045291185379028
"Ghana",240272.73907887936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,240272.73907887936,0.0
"Greece",132389.22733300924,0.0,0.0,0.0,65.69902801513672,40593.33387386799,0.0,65661.25560730696,0.0,25884.095516383648,0.0,0.0,0.0,184.84330743551254
"Grenada",325.5205518603325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,325.5205518603325,0.0
"Guatemala",109652.61389362812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24943.46411037445,84709.14978325367,0.0
"Guinea-Bissau",34140.83097088337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34138.29705810547,2.533912777900696
"Guinea",246351.03417408466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,246351.03417408466,0.0
"Guyana",211734.49391257763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,302.1961946487427,211432.2977179289,0.0
"Haiti",27115.004371464252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,933.5534610748291,26173.33789342642,8.113016963005066
"Holy See",0.638561487197876,0.0,0.0,0.0,0.0,0.0,0.0,0.638561487197876,0.0,0.0,0.0,0.0,0.0,0.0
"Honduras",113398.25280511379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5048.0546951293945,108349.37098139524,0.8271285891532898
"Hungary",92743.39850711823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92743.39850711823,0.0,0.0,0.0,0.0
"Iceland",101553.54323485494,27636.703751385212,10837.811685562134,62543.75584709644,0.0,0.0,0.0,0.0,75.6005630493164,0.0,456.0650291442871,0.0,0.0,3.606358617544174
"India",2988426.0995697975,0.0,0.0,0.0,10205.580685138702,22110.326046943665,26245.82975912094,937893.5807954073,0.0,0.0,0.0,36514.7968930006,1955310.4748455286,145.51054465770721
"Indonesia",1901284.7359036803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61194.58327674866,1839972.1025019288,118.05012500286102
"Iran (Islamic Republic of)",1678308.1118617654,0.0,0.0,0.0,338.8297119140625,772095.0675411224,0.0,743900.9415692687,0.0,52581.1783503294,0.0,0.0,57234.4146386385,52157.68005049229
"Iraq",436404.02786684036,0.0,0.0,0.0,0.0,21551.692024111748,0.0,413838.6686066389,0.0,1013.6672360897064,0.0,0.0,0.0,0.0
"Ireland",69399.57800874114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69395.95299845934,0.0,0.0,0.0,3.6250102818012238
"Israel",20793.92081397772,613.3681824207306,0.0,0.0,0.0,0.0,0.0,20180.552631556988,0.0,0.0,0.0,0.0,0.0,0.0
"Italy",300854.05188024044,0.0,0.0,0.0,3042.101089000702,74210.38239395618,4840.107725739479,119600.4294065237,6383.137886404991,89341.89885544777,3434.709143817425,0.0,0.0,1.2853793501853943
"Jamaica",11084.955896377563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11084.140382707119,0.8155136704444885
"Japan",373362.96159386635,0.0,63.42593610286713,0.0,0.0,35954.2882373333,0.0,39032.13930362463,5044.172806918621,292712.01465421915,0.0,0.0,542.4994913339615,14.421164333820343
"Jordan",89214.13984531164,988.0237836837769,0.0,0.0,0.0,237.1774456501007,0.0,87988.93861597776,0.0,0.0,0.0,0.0,0.0,0.0
"Kazakhstan",2828804.0024382174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55536.37523382902,2661577.896107644,9526.237589716911,0.0,0.0,102163.49350702763
"Kenya",585520.4856780767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86770.114405334,498747.7934804559,2.5777922868728638
"Kiribati",935.4083582162857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,916.5682233572006,18.840134859085083
"Kuwait",17306.70022380352,0.0,0.0,0.0,0.0,0.0,0.0,17306.70022380352,0.0,0.0,0.0,0.0,0.0,0.0
"Kyrgyzstan",198767.5345121026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71476.17330896854,87308.84862112999,39982.51258200407,0.0,0.0,0.0
"Lao People's Democratic Republic",231086.28127342463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6696.727034568787,224389.55423885584,0.0
