Domain|Area|Element|Item|Year|Unit|Value
Livestock Primary|Antigua and Barbuda|Laying|Eggs Primary|2010|1000 Head|65
Livestock Primary|Antigua and Barbuda|Yield|Eggs Primary|2010|100mg/An|46154
Livestock Primary|Antigua and Barbuda|Production|Eggs Primary|2010|tonnes|300
Livestock Primary|Antigua and Barbuda|Production|Meat indigenous, poultry|2010|1000 Head|90
Livestock Primary|Antigua and Barbuda|Yield/Carcass Weight|Meat indigenous, poultry|2010||0
Livestock Primary|Antigua and Barbuda|Production|Meat indigenous, poultry|2010|tonnes|108
Livestock Primary|Antigua and Barbuda|Production|Meat indigenous, total|2010|tonnes|336
Livestock Primary|Antigua and Barbuda|Producing Animals/Slaughtered|Meat, Poultry|2010|1000 Head|150
Livestock Primary|Antigua and Barbuda|Yield/Carcass Weight|Meat, Poultry|2010|0.1g/An|12000
Livestock Primary|Antigua and Barbuda|Production|Meat, Poultry|2010|tonnes|180
Livestock Primary|Antigua and Barbuda|Production|Meat, Total|2010|tonnes|408
Livestock Primary|Antigua and Barbuda|Milk Animals|Milk, Total|2010|Head|3220
Livestock Primary|Antigua and Barbuda|Yield|Milk, Total|2010|hg/An|8996
Livestock Primary|Antigua and Barbuda|Production|Milk, Total|2010|tonnes|2896
Livestock Primary|Antigua and Barbuda|Producing Animals/Slaughtered|Sheep and Goat Meat|2010|Head|2583
Livestock Primary|Antigua and Barbuda|Yield/Carcass Weight|Sheep and Goat Meat|2010|hg/An|97
Livestock Primary|Antigua and Barbuda|Production|Sheep and Goat Meat|2010|tonnes|25
Livestock Primary|Argentina|Production|Meat indigenous, pig|2010|Head|3233363
Livestock Primary|Argentina|Yield/Carcass Weight|Meat indigenous, pig|2010|hg/An|870
Livestock Primary|Argentina|Production|Meat indigenous, pig|2010|tonnes|281303
Livestock Primary|Argentina|Producing Animals/Slaughtered|Meat, pig|2010|Head|3234133
Livestock Primary|Argentina|Yield/Carcass Weight|Meat, pig|2010|hg/An|863
Livestock Primary|Argentina|Production|Meat, pig|2010|tonnes|279102
Livestock Primary|Argentina|Producing Animals/Slaughtered|Beef and Buffalo Meat|2010|Head|11882706
Livestock Primary|Argentina|Yield/Carcass Weight|Beef and Buffalo Meat|2010|hg/An|2213
Livestock Primary|Argentina|Production|Beef and Buffalo Meat|2010|tonnes|2630163
Livestock Primary|Argentina|Laying|Eggs Primary|2010|1000 Head|38000
Livestock Primary|Argentina|Yield|Eggs Primary|2010|100mg/An|145789
Livestock Primary|Argentina|Production|Eggs Primary|2010|tonnes|554000
Livestock Primary|Argentina|Production|Meat indigenous, poultry|2010|1000 Head|626187
Livestock Primary|Argentina|Yield/Carcass Weight|Meat indigenous, poultry|2010||0
Livestock Primary|Argentina|Production|Meat indigenous, poultry|2010|tonnes|1642827
Livestock Primary|Argentina|Production|Meat indigenous, total|2010|tonnes|4693330
Livestock Primary|Argentina|Producing Animals/Slaughtered|Meat, Poultry|2010|1000 Head|626429
Livestock Primary|Argentina|Yield/Carcass Weight|Meat, Poultry|2010|0.1g/An|26236
