Model,Scenario,Region,Variable,Unit,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
REMIND 1.7,CEMICS-1.5-CDR20,World,Population,million,,6465.587,6858.4392,7248.0137,7637.5883,7978.374,8287.574,8565.394,8809.967,9018.426,9186.561,9311.674,9395.123,,9457.945,,9399.87,,9239.529,,9012.212
REMIND-MAgPIE 1.5,SSP1-19,World,Emissions|CH4|AFOLU,Mt CH4/yr,,157.0764,173.2243,,206.6149,,188.9702,,185.0264,,166.6842,,143.2703,,123.4746,,104.5833,,85.0666,,66.8064
REMIND-MAgPIE 1.5,SSP1-19,World,Population,million,,6505,6894,,7543,,8024,,8345,,8481,,8436,,8238,,7903,,7445,,6892
REMIND-MAgPIE 1.5,SSP2-19,World,Emissions|CH4|AFOLU,Mt CH4/yr,,156.4646,174.0377,,198.3534,,191.2835,,180.4004,,172.579,,166.5729,,164.4812,,157.8057,,143.4719,,127.5311
REMIND-MAgPIE 1.5,SSP2-19,World,Population,million,,6505,6894,,7638,,8288,,8810,,9187,,9395,,9458,,9400,,9240,,9012
REMIND-MAgPIE 1.5,SSP5-19,World,Emissions|CH4|AFOLU,Mt CH4/yr,,157.1,171.4797,,202.9747,,195.8396,,189.0582,,174.5069,,161.9058,,154.299,,142.8931,,128.3693,,109.855
REMIND-MAgPIE 1.5,SSP5-19,World,Population,million,,6505,6894,,7552,,8054,,8403,,8579,,8589,,8457,,8200,,7831,,7375
REMIND-MAgPIE 1.7-3.0,CD-LINKS_NPi2020_400,World,Emissions|CH4|AFOLU,Mt CH4/yr,,157.5714,181.5013,203.0211,210.3444,178.3373,186.4537,178.802,183.9224,172.9281,175.7653,168.8339,169.4993,,166.4907,,161.0737,,150.0532,,134.647
REMIND-MAgPIE 1.7-3.0,CD-LINKS_NPi2020_400,World,Population,million,,6465.587,6858.4392,7248.0137,7637.5883,7978.374,8287.574,8565.394,8809.967,9018.426,9186.561,9311.674,9395.123,,9457.945,,9399.87,,9239.529,,9012.212
REMIND-MAgPIE 1.7-3.0,EMF33_1.5C_cost100,World,Population,million,,6465.587,6858.4392,7248.0137,7637.5883,7978.374,8287.574,8565.394,8809.967,9018.426,9186.561,9311.674,9395.123,,9457.945,,9399.87,,9239.529,,9012.212
REMIND-MAgPIE 1.7-3.0,EMF33_1.5C_cost100,World,Agricultural Production,million t DM/yr,,3543.3658,4080.7626,4712.6852,5374.9902,5978.117,6774.9633,7883.0016,9638.2388,12531.4498,16019.1154,18979.2621,20994.5758,,23445.9655,,26015.4099,,27287.3996,,27051.3977
REMIND-MAgPIE 1.7-3.0,EMF33_1.5C_full,World,Population,million,,6465.587,6858.4392,7248.0137,7637.5883,7978.374,8287.574,8565.394,8809.967,9018.426,9186.561,9311.674,9395.123,,9457.945,,9399.87,,9239.529,,9012.212
REMIND-MAgPIE 1.7-3.0,EMF33_1.5C_full,World,Agricultural Production,million t DM/yr,,3543.3658,4080.7626,4712.3011,5374.2929,5996.4324,6869.3767,8477.2991,11309.1876,14938.1906,17991.1239,19972.4394,21408.4545,,23959.7687,,26776.1399,,28098.6687,,27927.8443
REMIND-MAgPIE 1.7-3.0,EMF33_1.5C_nofuel,World,Population,million,,6465.587,6858.4392,7248.0137,7637.5883,7978.374,8287.574,8565.394,8809.967,9018.426,9186.561,9311.674,9395.123,,9457.945,,9399.87,,9239.529,,9012.212
REMIND-MAgPIE 1.7-3.0,EMF33_1.5C_nofuel,World,Agricultural Production,million t DM/yr,,3543.3658,4080.7626,4712.2987,5374.7748,6109.2408,7204.2195,9398.0153,12750.2347,15801.4658,17673.732,18860.4053,19845.8186,,21440.2071,,22723.5877,,23241.8533,,22566.1418
